run, duration, date_start, time_start, date_end, time_end
326305, 02:24:49, 2018-11-07, 21:04:17, 2018-11-07, 23:29:06 
326309, 01:19:26, 2018-11-08, 01:30:02, 2018-11-08, 02:49:28
326354, 00:26:08, 2018-11-08, 13:55:44, 2018-11-08, 14:21:52 
326398, 03:29:07, 2018-11-09, 05:11:20, 2018-11-09, 08:40:27
326428, 00:27:22, 2018-11-09, 11:25:48, 2018-11-09, 11:53:10
326431, 00:07:53, 2018-11-09, 12:14:23, 2018-11-09, 12:22:16 
326434, 00:36:22, 2018-11-09, 12:40:40, 2018-11-09, 13:17:02 
326586, 02:24:42, 2018-11-12, 08:33:53, 2018-11-12, 10:58:35 
326587, 02:40:35, 2018-11-12, 11:01:10, 2018-11-12, 13:41:45
326676, 04:05:03, 2018-11-13, 18:44:44, 2018-11-13, 22:49:47 
326718, 05:55:03, 2018-11-14, 16:22:39, 2018-11-14, 22:17:42 
326722, 07:36:39, 2018-11-15, 01:42:25, 2018-11-15, 09:19:04 
326776, 07:38:15, 2018-11-15, 18:58:55, 2018-11-16, 02:37:10 
326784, 00:17:10, 2018-11-16, 04:44:13, 2018-11-16, 05:01:23  
326790, 03:13:12, 2018-11-16, 07:16:09, 2018-11-16, 10:29:21 
326791, 04:29:05, 2018-11-16, 10:33:04, 2018-11-16, 15:02:09 
326815, 07:32:54, 2018-11-16, 17:21:59, 2018-11-17, 00:54:53  
326822, 07:37:40, 2018-11-17, 03:13:05, 2018-11-17, 10:50:45 
326834, 00:10:35, 2018-11-17, 13:44:03, 2018-11-17, 13:54:38 
326842, 00:14:41, 2018-11-17, 16:21:14, 2018-11-17, 16:35:55 
326856, 05:32:05, 2018-11-18, 11:34:08, 2018-11-18, 17:06:13 
326858, 00:01:00, 2018-11-18, 17:17:09, 2018-11-18, 17:18:09 
326883, 01:55:14, 2018-11-18, 23:17:38, 2018-11-19, 01:12:52 
326885, 00:20:38, 2018-11-19, 01:30:26, 2018-11-19, 01:51:04 
326886, 00:38:10, 2018-11-19, 01:53:52, 2018-11-19, 02:32:02 
326891, 00:27:05, 2018-11-19, 14:37:48, 2018-11-19, 15:04:53 
326894, 00:03:22, 2018-11-19, 15:09:16, 2018-11-19, 15:12:38 
326897, 00:27:58, 2018-11-19, 15:21:14, 2018-11-19, 15:49:12 
326926, 00:10:45, 2018-11-19, 18:17:57, 2018-11-19, 18:28:42 
326941, 01:31:11, 2018-11-19, 20:36:50, 2018-11-19, 22:08:01 
326942, 01:55:20, 2018-11-19, 22:11:28, 2018-11-20, 00:06:48 
326943, 04:04:33, 2018-11-20, 00:10:03, 2018-11-20, 04:14:36 
326959, 00:12:43, 2018-11-20, 09:41:17, 2018-11-20, 09:54:00 
326988, 00:01:37, 2018-11-20, 20:14:14, 2018-11-20, 20:15:51 
326989, 00:02:06, 2018-11-20, 20:17:13, 2018-11-20, 20:19:19 
326991, 00:12:08, 2018-11-20, 20:30:58, 2018-11-20, 20:43:06 
326998, 00:22:10, 2018-11-20, 22:57:52, 2018-11-20, 23:20:02 
327005, 00:03:19, 2018-11-21, 06:30:37, 2018-11-21, 06:33:56 
327019, 00:31:28, 2018-11-21, 09:50:03, 2018-11-21, 10:21:31 
327020, 00:00:34, 2018-11-21, 10:25:47, 2018-11-21, 10:26:21 
327021, 00:11:45, 2018-11-21, 10:30:08, 2018-11-21, 10:41:53 
327023, 01:41:26, 2018-11-21, 11:05:55, 2018-11-21, 12:47:21 
327049, 00:25:43, 2018-11-21, 16:24:29, 2018-11-21, 16:50:12 
327050, 04:55:53, 2018-11-21, 16:53:03, 2018-11-21, 21:48:56 
327074, 00:50:02, 2018-11-21, 23:30:18, 2018-11-22, 00:20:20 
327125, 01:55:27, 2018-11-22, 20:00:58, 2018-11-22, 21:56:25 
327147, 02:04:06, 2018-11-23, 08:59:03, 2018-11-23, 11:03:09 
327148, 05:55:20, 2018-11-23, 11:03:43, 2018-11-23, 16:59:03 
327401, 00:03:10, 2018-11-28, 02:41:36, 2018-11-28, 02:44:46 
327402, 01:55:00, 2018-11-28, 02:47:37, 2018-11-28, 04:42:37 
327431, 00:55:59, 2018-11-28, 17:28:54, 2018-11-28, 18:24:53 
327462, 02:03:09, 2018-11-29, 01:17:33, 2018-11-29, 03:20:42 
327463, 01:29:03, 2018-11-29, 03:22:42, 2018-11-29, 04:51:45 
327464, 03:29:04, 2018-11-29, 04:53:34, 2018-11-29, 08:22:38 
327465, 04:15:19, 2018-11-29, 08:24:59, 2018-11-29, 12:40:18 
327489, 05:32:53, 2018-11-29, 22:48:30, 2018-11-30, 04:21:23 
